text;sentimen;cleaned_text;missing_words;case_folding;normalized_text;normalized_count
Dalam momen yang penuh harapan Ahmad Luthfi menyampaikan pentingnya doa bersama dari generasi milenial untuk mendukung Prabowo-Gibran dalam menjalankan amanahnya.;positif;dalam momen yang penuh harapan ahmad luthfi menyampaikan pentingnya doa bersama dari generasi milenial untuk mendukung prabowogibran dalam menjalankan amanahnya;0;dalam momen yang penuh harapan ahmad luthfi menyampaikan pentingnya doa bersama dari generasi milenial untuk mendukung prabowogibran dalam menjalankan amanahnya;dalam momen yang penuh harapan ahmad luthfi menyampaikan pentingnya doa bersama dari generasi milenial untuk mendukung prabowogibran dalam menjalankan amanahnya;0
Hari ini prabowo dilantik. Berapa bulan ke depan. Menyusul dilantik RK ahmad luthfi dan khofifah. Apa ndak tambah stress kelen 5 th kedepan.;negatif;hari ini prabowo dilantik berapa bulan ke depan menyusul dilantik rk ahmad luthfi dan khofifah apa ndak tambah stress kelen  th kedepan;1;hari ini prabowo dilantik berapa bulan ke depan menyusul dilantik rk ahmad luthfi dan khofifah apa ndak tambah stress kelen  th kedepan;hari ini prabowo dilantik berapa bulan ke depan menyusul dilantik rk ahmad luthfi dan khofifah apa indak tambah stres kelen tahu kedepan;3
Ahmad Luthfi Diserang Isu Sambo BEP : Biasa Pohon Kalau Banyak Buahnya Dilempari Orang - https://t.co/IKvrpH9jCZ https://t.co/jJ3hCQNseZ;negatif;ahmad luthfi diserang isu sambo bep biasa pohon kalau banyak buahnya dilempari orang;4;ahmad luthfi diserang isu sambo bep biasa pohon kalau banyak buahnya dilempari orang;ahmad luthfi diserang isu sambo bep biasa pohon kalau banyak buahnya dilempari orang;0
Pilgub Jateng 2024: Ahmad Luthfi Soroti Kurangnya Infrastruktur PDAM dan Dorong Inovasi Desalinasi https://t.co/8HIpLsI9ZB;positif;pilgub jateng  ahmad luthfi soroti kurangnya infrastruktur pdam dan dorong inovasi desalinasi;2;pilgub jateng  ahmad luthfi soroti kurangnya infrastruktur pdam dan dorong inovasi desalinasi;pilgub jateng ahmad luthfi soroti kurangnya infrastruktur pdam dan dorong inovasi desalinasi;0
Kala Ahmad Luthfi Ajak Gen-Z Doakan Prabowo Jelang Pelantikan Presiden https://t.co/oKLTzOn8k0;positif;kala ahmad luthfi ajak genz doakan prabowo jelang pelantikan presiden;1;kala ahmad luthfi ajak genz doakan prabowo jelang pelantikan presiden;kala ahmad luthfi ajak genz doakan prabowo jelang pelantikan presiden;0
Datang ke Pati Ahmad Luthfi Bangga Masyarakat di Pinggiran Hutan Bisa Ekspor Pete ke Jepang https://t.co/luTsdCCz2k;positif;datang ke pati ahmad luthfi bangga masyarakat di pinggiran hutan bisa ekspor pete ke jepang;1;datang ke pati ahmad luthfi bangga masyarakat di pinggiran hutan bisa ekspor pete ke jepang;datang ke pati ahmad luthfi bangga masyarakat di pinggiran hutan bisa ekspor pete ke jepang;0
Ahmad Luthfi Calon Gubernur (Cagub) Jateng nomor urut 02 berjanji bakal menyelesaikan segudang persoalan yang membelit petani di Kabupaten Pati https://t.co/oEJmthsawg https://t.co/SOKmPdbd9Z;positif;ahmad luthfi calon gubernur cagub jateng nomor urut  berjanji bakal menyelesaikan segudang persoalan yang membelit petani di kabupaten pati;3;ahmad luthfi calon gubernur cagub jateng nomor urut  berjanji bakal menyelesaikan segudang persoalan yang membelit petani di kabupaten pati;ahmad luthfi calon gubernur cagub jateng nomor urut berjanji bakal menyelesaikan segudang persoalan yang membelit petani di kabupaten pati;0
Ahmad Luthfi jagain jawa tengah e Andika ben nonton Ning tv bae;negatif;ahmad luthfi jagain jawa tengah e andika ben nonton ning tv bae;0;ahmad luthfi jagain jawa tengah e andika ben nonton ning tv bae;ahmad luthfi menjaga jawa tengah e andika ben menonton ning tv bae;2
Aliansi dengan Ahmad Luthfi bikin banyak warga kecewa. Gus Yasin sedang kejar apa? #PilgubJateng;negatif;aliansi dengan ahmad luthfi bikin banyak warga kecewa gus yasin sedang kejar apa;1;aliansi dengan ahmad luthfi bikin banyak warga kecewa gus yasin sedang kejar apa;aliansi dengan ahmad luthfi bikin banyak warga kecewa gus yasin sedang kejar apa;0
Janjikan Pupuk Mudah dan Murah Ahmad Luthfi: Kartu Tani Pret https://t.co/eIcuJfto00;positif;janjikan pupuk mudah dan murah ahmad luthfi kartu tani pret;1;janjikan pupuk mudah dan murah ahmad luthfi kartu tani pret;janjikan pupuk mudah dan murah ahmad luthfi kartu tani pret;0
Iya juga ya Aliansi ahmad luthfi orang bermasalah kaya gitu kok dia mau ya. Padahal ahmad luthfi polisi bermasalah;negatif;iya juga ya aliansi ahmad luthfi orang bermasalah kaya gitu kok dia mau ya padahal ahmad luthfi polisi bermasalah;0;iya juga ya aliansi ahmad luthfi orang bermasalah kaya gitu kok dia mau ya padahal ahmad luthfi polisi bermasalah;iya juga iya aliansi ahmad luthfi orang bermasalah kayak begitu kok dia mau iya padahal ahmad luthfi polisi bermasalah;4
Rilis poltracking DKI: RK 51 6% Jatim: Risma 67 5% Jateng: Ahmad Luthfi 52 2% Ayo pak Andika semangat https://t.co/yBiwZ0OVbD;positif;rilis poltracking dki rk   jatim risma   jateng ahmad luthfi   ayo pak andika semangat;7;rilis poltracking dki rk   jatim risma   jateng ahmad luthfi   ayo pak andika semangat;rilis poltracking dki rk jatim risma jateng ahmad luthfi ayo pak andika semangat;0
Viral di tiktok prilaku Ahmad Luthfi tertawa sampai angkat kaki. Begini mau dijadikan pemimpin Jawa Tengah? Beleng-beleng. https://t.co/03vVSpsgBl;negatif;viral di tiktok prilaku ahmad luthfi tertawa sampai angkat kaki begini mau dijadikan pemimpin jawa tengah belengbeleng;1;viral di tiktok prilaku ahmad luthfi tertawa sampai angkat kaki begini mau dijadikan pemimpin jawa tengah belengbeleng;viral di tiktok prilaku ahmad luthfi tertawa sampai angkat kaki begini mau dijadikan pemimpin jawa tengah belengbeleng;0
Pertanda apa ini ? Apakah dukungan Pak Jokowi ke Cagub Bapak Ahmad Luthfi ? Ada sebuah pesan yang disampaikan Pak Jokowi ke Cagub Bapak Ahmad Luthfi... Semoga SATU PUTARAN untuk Ahmad Luthfi - Taj Yasin https://t.co/yTQLFehrrV;positif;pertanda apa ini apakah dukungan pak jokowi ke cagub bapak ahmad luthfi ada sebuah pesan yang disampaikan pak jokowi ke cagub bapak ahmad luthfi semoga satu putaran untuk ahmad luthfi taj yasin;4;pertanda apa ini apakah dukungan pak jokowi ke cagub bapak ahmad luthfi ada sebuah pesan yang disampaikan pak jokowi ke cagub bapak ahmad luthfi semoga satu putaran untuk ahmad luthfi taj yasin;pertanda apa ini apakah dukungan pak jokowi ke cagub bapak ahmad luthfi ada sebuah pesan yang disampaikan pak jokowi ke cagub bapak ahmad luthfi semoga satu putaran untuk ahmad luthfi taj yasin;0
senam sehat Ahmad Luthfi dan Taj Yazin https://t.co/xoz4Fb9ajT;positif;senam sehat ahmad luthfi dan taj yazin;1;senam sehat ahmad luthfi dan taj yazin;senam sehat ahmad luthfi dan taj yazin;0
Ternyata biangnya diduga oknum polisi? Pilgub Jateng aja seperti ini bgmn dgn pilpres kemarin? Demokrasi hancur di Jawa Tengah. Sekarang pahamkan knp PJ gubernur dari geng Solo? Kapolda Jateng juga dari geng Solo yaitu Ahmad Luthfi skrng orang ini di jadikan cagub pdhl ada isu negatif https://t.co/VV223MHbzr;negatif;ternyata biangnya diduga oknum polisi pilgub jateng aja seperti ini bgmn dgn pilpres kemarin demokrasi hancur di jawa tengah sekarang pahamkan knp pj gubernur dari geng solo kapolda jateng juga dari geng solo yaitu ahmad luthfi skrng orang ini di jadikan cagub pdhl ada isu negatif;1;ternyata biangnya diduga oknum polisi pilgub jateng aja seperti ini bgmn dgn pilpres kemarin demokrasi hancur di jawa tengah sekarang pahamkan knp pj gubernur dari geng solo kapolda jateng juga dari geng solo yaitu ahmad luthfi skrng orang ini di jadikan cagub pdhl ada isu negatif;ternyata biangnya diduga oknum polisi pilgub jateng saja seperti ini bagaimana dengan pilpres kemarin demokrasi hancur di jawa tengah sekarang pahamkan kenapa pj gubernur dari geng solo kapolda jateng juga dari geng solo yaitu ahmad luthfi sekarang orang ini di jadikan cagub padahal ada isu negatif;6
Bubar Mendadak: Bawaslu Gerebek Pertemuan Kades se-Pemalang yang Diduga Bermuatan Politik Untuk mendukung Ahmad Luthfi. Geng Mulyono @jokowi makin menjijikkan. Kedatangan Bawaslu bukan tanpa alasan. Berawal laporan dari tim pemenangan Andika Hendi yang mencium adanya  kecurangan https://t.co/9IT7tiJmt5;negatif;bubar mendadak bawaslu gerebek pertemuan kades sepemalang yang diduga bermuatan politik untuk mendukung ahmad luthfi geng mulyono makin menjijikkan kedatangan bawaslu bukan tanpa alasan berawal laporan dari tim pemenangan andika hendi yang mencium adanya kecurangan;2;bubar mendadak bawaslu gerebek pertemuan kades sepemalang yang diduga bermuatan politik untuk mendukung ahmad luthfi geng mulyono makin menjijikkan kedatangan bawaslu bukan tanpa alasan berawal laporan dari tim pemenangan andika hendi yang mencium adanya kecurangan;bubar mendadak bawaslu gerebek pertemuan kades sepemalang yang diduga bermuatan politik untuk mendukung ahmad luthfi geng mulyono makin menjijikkan kedatangan bawaslu bukan tanpa alasan berawal laporan dari tim pemenangan andika hendi yang mencium adanya kecurangan;0
"Mereka yang percaya dengan ucapan Ahmad Luthfi ini sama seperti orang yang percaya bahwa ; SUMANTO VEGETARIAN";negatif;mereka yang percaya dengan ucapan ahmad luthfi ini sama seperti orang yang percaya bahwa sumanto vegetarian;1;mereka yang percaya dengan ucapan ahmad luthfi ini sama seperti orang yang percaya bahwa sumanto vegetarian;mereka yang percaya dengan ucapan ahmad luthfi ini sama seperti orang yang percaya bahwa sumanto vegetarian;0
Hukum aturan dan aparat sepertinya ga ada artinya bagi geng Mulyono di Jawa Tengah. Disaat tim kuasa hukum Andika Hendi terus melaporkan kepala desa yg kampanye Ahmad Luthfi ada lagi kepala desa yg terang-terangan kampanye Ahmad Luthfi. @bawaslu_RI @BawasluJateng https://t.co/zgudtnDlCj;negatif;hukum aturan dan aparat sepertinya ga ada artinya bagi geng mulyono di jawa tengah disaat tim kuasa hukum andika hendi terus melaporkan kepala desa yg kampanye ahmad luthfi ada lagi kepala desa yg terangterangan kampanye ahmad luthfi;3;hukum aturan dan aparat sepertinya ga ada artinya bagi geng mulyono di jawa tengah disaat tim kuasa hukum andika hendi terus melaporkan kepala desa yg kampanye ahmad luthfi ada lagi kepala desa yg terangterangan kampanye ahmad luthfi;hukum aturan dan aparat sepertinya enggak ada artinya bagi geng mulyono di jawa tengah disaat tim kuasa hukum andika hendi terus melaporkan kepala desa yang kampanye ahmad luthfi ada lagi kepala desa yang terangterangan kampanye ahmad luthfi;3
Gila kejadian pilpres diulang lagi kali ini Kades dikerahkan mendukung Paslon Ahmad Luthfi- Taj Yasin di Pilgub Jateng Pilkada Jateng ini sudah melawan hukum hampir di semua kabupaten kades itu sudah dipakai. Pilkada Jateng bermasalah. Kalau pemilu dimenangkan dengan pola https://t.co/nIL94RhIs8;negatif;gila kejadian pilpres diulang lagi kali ini kades dikerahkan mendukung paslon ahmad luthfi taj yasin di pilgub jateng pilkada jateng ini sudah melawan hukum hampir di semua kabupaten kades itu sudah dipakai pilkada jateng bermasalah kalau pemilu dimenangkan dengan pola;1;gila kejadian pilpres diulang lagi kali ini kades dikerahkan mendukung paslon ahmad luthfi taj yasin di pilgub jateng pilkada jateng ini sudah melawan hukum hampir di semua kabupaten kades itu sudah dipakai pilkada jateng bermasalah kalau pemilu dimenangkan dengan pola;gila kejadian pilpres diulang lagi kali ini kades dikerahkan mendukung paslon ahmad luthfi taj yasin di pilgub jateng pemilihan kepala daerah jateng ini sudah melawan hukum hampir di semua kabupaten kades itu sudah dipakai pemilihan kepala daerah jateng bermasalah kalau pemilihan umum dimenangkan dengan pola;3
Ini acaranya sebelum bubar digerebek Bawaslu geng Mulyono memang pintar tipu-tipu rakyat. Judulnya silaturahmi kepala desa faktanya dukungan ke Ahmad Luthfi calon boneka dari Mulyono. Yg jadi pertanyaan knp @bawaslu_RI baru datang saat acara selesai? Pertemuan ini memakai uang rakyat https://t.co/THNp51qjv9;negatif;ini acaranya sebelum bubar digerebek bawaslu geng mulyono memang pintar tiputipu rakyat judulnya silaturahmi kepala desa faktanya dukungan ke ahmad luthfi calon boneka dari mulyono yg jadi pertanyaan knp baru datang saat acara selesai pertemuan ini memakai uang rakyat;2;ini acaranya sebelum bubar digerebek bawaslu geng mulyono memang pintar tiputipu rakyat judulnya silaturahmi kepala desa faktanya dukungan ke ahmad luthfi calon boneka dari mulyono yg jadi pertanyaan knp baru datang saat acara selesai pertemuan ini memakai uang rakyat;ini acaranya sebelum bubar digerebek bawaslu geng mulyono memang pintar tiputipu rakyat judulnya silaturahmi kepala desa faktanya dukungan ke ahmad luthfi calon boneka dari mulyono yang jadi pertanyaan kenapa baru datang saat acara selesai pertemuan ini memakai uang rakyat;2
Kunci pilgub jateng itu soal 2029 Ahmad Luthfi cukup pada geopolitik lokal serta fokus pada jawa tengah Andhika Perkasa itu proyeksi 2029 pilgub jateng itu sasaran antara Kalkulasi impact kedepannya Megawati dan PDIP sedang membangun skenario 2029 (Jokowi jilid ke-2) *FYI;negatif;kunci pilgub jateng itu soal  ahmad luthfi cukup pada geopolitik lokal serta fokus pada jawa tengah andhika perkasa itu proyeksi  pilgub jateng itu sasaran antara kalkulasi impact kedepannya megawati dan pdip sedang membangun skenario  jokowi jilid ke fyi;3;kunci pilgub jateng itu soal  ahmad luthfi cukup pada geopolitik lokal serta fokus pada jawa tengah andhika perkasa itu proyeksi  pilgub jateng itu sasaran antara kalkulasi impact kedepannya megawati dan pdip sedang membangun skenario  jokowi jilid ke fyi;kunci pilgub jateng itu soal ahmad luthfi cukup pada geopolitik lokal serta fokus pada jawa tengah andhika perkasa itu proyeksi pilgub jateng itu sasaran antara kalkulasi impact kedepannya megawati dan pdip sedang membangun skenario jokowi jilid ke sebagai informasi;1
Info penting Ahmad Luthfi baru aja dapat penghargaan bapak santri Jawa Tengah. Cuma yg jadi pertanyaan kalo bapak santrinya seperti ini bgmn dgn santrinya? Maaf cuma nanya. Krn setauku santri itu adabnya bagus. Tetap Andika Perkasa Rambo #JatengPerkasa . https://t.co/HJxQwZhz22;negatif;info penting ahmad luthfi baru aja dapat penghargaan bapak santri jawa tengah cuma yg jadi pertanyaan kalo bapak santrinya seperti ini bgmn dgn santrinya maaf cuma nanya krn setauku santri itu adabnya bagus tetap andika perkasa rambo;3;info penting ahmad luthfi baru aja dapat penghargaan bapak santri jawa tengah cuma yg jadi pertanyaan kalo bapak santrinya seperti ini bgmn dgn santrinya maaf cuma nanya krn setauku santri itu adabnya bagus tetap andika perkasa rambo;informasi penting ahmad luthfi baru saja dapat penghargaan bapak santri jawa tengah cuma yang jadi pertanyaan kalau bapak santrinya seperti ini bagaimana dengan santrinya maaf cuma bertanya karena setauku santri itu adabnya bagus tetap andika perkasa rambo;8
Luthfi itu jokowi sementara Andhika itu sedang menapaki diri jadi Jokowi ke-2 Megawati (Andhika) vs Jokowi (Luthfi) ibarat petugas partai baru vs pilihan mantan petugas partai Pilgub Jawa Tengah hegemoni Megawati meruntuhkan tembok besar Jokowi PDIP vs satu orang;negatif;luthfi itu jokowi sementara andhika itu sedang menapaki diri jadi jokowi ke megawati andhika vs jokowi luthfi ibarat petugas partai baru vs pilihan mantan petugas partai pilgub jawa tengah hegemoni megawati meruntuhkan tembok besar jokowi pdip vs satu orang;0;luthfi itu jokowi sementara andhika itu sedang menapaki diri jadi jokowi ke megawati andhika vs jokowi luthfi ibarat petugas partai baru vs pilihan mantan petugas partai pilgub jawa tengah hegemoni megawati meruntuhkan tembok besar jokowi pdip vs satu orang;luthfi itu jokowi sementara andhika itu sedang menapaki diri jadi jokowi ke megawati andhika vs jokowi luthfi ibarat petugas partai baru vs pilihan mantan petugas partai pilgub jawa tengah hegemoni megawati meruntuhkan tembok besar jokowi pdip vs satu orang;0
Lagi viral di tiktok dugaan pengerahan kepala desa di Jawa Tengah untuk Ahmad Luthfi. Sudah ketangkap basah seperti ini kalo @bawaslu_RI @BawasluJateng ga ada tindakan jadi wajar jika saat ini ada gerakan warga mosi tidak percaya pada Bawaslu di Jawa Tengah.  https://t.co/eVAazaHoIT;negatif;lagi viral di tiktok dugaan pengerahan kepala desa di jawa tengah untuk ahmad luthfi sudah ketangkap basah seperti ini kalo ga ada tindakan jadi wajar jika saat ini ada gerakan warga mosi tidak percaya pada bawaslu di jawa tengah;3;lagi viral di tiktok dugaan pengerahan kepala desa di jawa tengah untuk ahmad luthfi sudah ketangkap basah seperti ini kalo ga ada tindakan jadi wajar jika saat ini ada gerakan warga mosi tidak percaya pada bawaslu di jawa tengah;lagi viral di tiktok dugaan pengerahan kepala desa di jawa tengah untuk ahmad luthfi sudah ketangkap basah seperti ini kalau enggak ada tindakan jadi wajar jika saat ini ada gerakan warga mosi tidak percaya pada bawaslu di jawa tengah;2
Setelah Kendal kemudian Pemalang besok entah dimana lagi. Busuknya luar biasa.... Bawaslu Kab Pekalongan gerebek Pertemuan Kades se-Pemalang yang dikemas sebagai silaturahmi Paguyuban Kades se-Kabupaten Pemalang dgn pengarahan dukungan politik pasangan Ahmad Luthfi - Taj yasin https://t.co/5YtmX9PyRJ;negatif;setelah kendal kemudian pemalang besok entah dimana lagi busuknya luar biasa bawaslu kab pekalongan gerebek pertemuan kades sepemalang yang dikemas sebagai silaturahmi paguyuban kades sekabupaten pemalang dgn pengarahan dukungan politik pasangan ahmad luthfi taj yasin;2;setelah kendal kemudian pemalang besok entah dimana lagi busuknya luar biasa bawaslu kab pekalongan gerebek pertemuan kades sepemalang yang dikemas sebagai silaturahmi paguyuban kades sekabupaten pemalang dgn pengarahan dukungan politik pasangan ahmad luthfi taj yasin;setelah kendal kemudian pemalang besok entah dimana lagi busuknya luar biasa bawaslu kabupaten pekalongan gerebek pertemuan kades sepemalang yang dikemas sebagai silaturahmi paguyuban kades sekabupaten pemalang dengan pengarahan dukungan politik pasangan ahmad luthfi taj yasin;2
Fitnah Dan Intimidasi? Padahal Wakilnya Anak Kiyai Relawan Ahmad Lutfhi-Taj Yasin Mundur Akui Ditugaskan Fitnah Lawan Politik Eks Relawan Ahmad Luthfi-Taj Yasin Ngaku Diancam usai Mundur: Kami Cuma Orang Kecil ;negatif;fitnah dan intimidasi padahal wakilnya anak kiyai relawan ahmad lutfhitaj yasin mundur akui ditugaskan fitnah lawan politik eks relawan ahmad luthfitaj yasin ngaku diancam usai mundur kami cuma orang kecil;0;fitnah dan intimidasi padahal wakilnya anak kiyai relawan ahmad lutfhitaj yasin mundur akui ditugaskan fitnah lawan politik eks relawan ahmad luthfitaj yasin ngaku diancam usai mundur kami cuma orang kecil;fitnah dan intimidasi padahal wakilnya anak kiyai relawan ahmad lutfhitaj yasin mundur akui ditugaskan fitnah lawan politik eks relawan ahmad luthfitaj yasin mengaku diancam usai mundur kami cuma orang kecil;1
"Saya tidak akan menjawab pertanyaan ; Mengapa para Kepala Desa tertentu di Jawa Tengah yang diduga tersandera kasus tertentu gemar mengerubungi Ahmad 'Fufufafa Luthfi ? Namun saya memilih menyampaikan percikan ilustrasi sebagai berikut ; BAU https://t.co/0zGv1m91qN";negatif;saya tidak akan menjawab pertanyaan mengapa para kepala desa tertentu di jawa tengah yang diduga tersandera kasus tertentu gemar mengerubungi ahmad fufufafa luthfi namun saya memilih menyampaikan percikan ilustrasi sebagai berikut bau;4;saya tidak akan menjawab pertanyaan mengapa para kepala desa tertentu di jawa tengah yang diduga tersandera kasus tertentu gemar mengerubungi ahmad fufufafa luthfi namun saya memilih menyampaikan percikan ilustrasi sebagai berikut bau;saya tidak akan menjawab pertanyaan mengapa para kepala desa tertentu di jawa tengah yang diduga tersandera kasus tertentu gemar mengerubungi ahmad fufufafa luthfi namun saya memilih menyampaikan percikan ilustrasi sebagai berikut bau;0
