text;sentimen;cleaned_text;missing_words;case_folding;normalized_text;normalized_count
PILKADA JATENG. Komunitas pengusaha Jateng Perkasa dukung total Andika-Hendi... https://t.co/LG87FmIlfD;positif;pilkada jateng komunitas pengusaha jateng perkasa dukung total andikahendi;1;pilkada jateng komunitas pengusaha jateng perkasa dukung total andikahendi;pemilihan kepala daerah jateng komunitas pengusaha jateng perkasa dukung total andikahendi;1
Andika Perkasa melakukan blusukan ke pasar tradisional di Demak untuk berdialog dan menyerap aspirasi pedagang tradisional yang kini lesu akibat pesatnya pasar digital #JatengPerkasa https://t.co/nurFpPhrIo;positif;andika perkasa melakukan blusukan ke pasar tradisional di demak untuk berdialog dan menyerap aspirasi pedagang tradisional yang kini lesu akibat pesatnya pasar digital;2;andika perkasa melakukan blusukan ke pasar tradisional di demak untuk berdialog dan menyerap aspirasi pedagang tradisional yang kini lesu akibat pesatnya pasar digital;andika perkasa melakukan blusukan ke pasar tradisional di demak untuk berdialog dan menyerap aspirasi pedagang tradisional yang kini lesu akibat pesatnya pasar digital;0
Jika pilkada Jawa Tengah diadakan hari ini siapa pilihanmu? Andika Perkasa: RT Ahmad Lutfi: Like ️ #JatengPerkasa https://t.co/ndSbYcFuTv;negatif;jika pilkada jawa tengah diadakan hari ini siapa pilihanmu andika perkasa rt ahmad lutfi like;3;jika pilkada jawa tengah diadakan hari ini siapa pilihanmu andika perkasa rt ahmad lutfi like;jika pemilihan kepala daerah jawa tengah diadakan hari ini siapa pilihanmu andika perkasa rt ahmad lutfi like;1
Komandan Korea Bambang Pacul siap mengawal langsung kemenangan Andika Perkasa - Hendrar Prihadi di Pilgub Jawa Tengah. Aura kebahagiaan ini akan membawa kemenangan Karena Jateng butuh Rambo bukan Sambo!! https://t.co/Zsos3VFInN;positif;komandan korea bambang pacul siap mengawal langsung kemenangan andika perkasa hendrar prihadi di pilgub jawa tengah aura kebahagiaan ini akan membawa kemenangan karena jateng butuh rambo bukan sambo;2;komandan korea bambang pacul siap mengawal langsung kemenangan andika perkasa hendrar prihadi di pilgub jawa tengah aura kebahagiaan ini akan membawa kemenangan karena jateng butuh rambo bukan sambo;komandan korea bambang pacul siap mengawal langsung kemenangan andika perkasa hendrar prihadi di pilgub jawa tengah aura kebahagiaan ini akan membawa kemenangan karena jateng butuh rambo bukan sambo;0
Padahal sudah ngerahin bot Buat nyerang Andika maupun PDIP tapi Ahmad Luthfi - Taj Yasin masih aja ketinggalan jauh dari Andika Perkasa - Hendrar Prihadi. Ini menjadi bukti bahwa masyarakat Jawa Tengah itu butuh Rambo bukan Sambo. https://t.co/ZGdHrST8sJ;positif;padahal sudah ngerahin bot buat nyerang andika maupun pdip tapi ahmad luthfi taj yasin masih aja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo;3;padahal sudah ngerahin bot buat nyerang andika maupun pdip tapi ahmad luthfi taj yasin masih aja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo;padahal sudah ngerahin bot buat menyerang andika maupun pdip tapi ahmad luthfi taj yasin masih saja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo;2
Calon Gubernur Jawa Tengah Nomor Urut 1 Andika Perkasa berkampanye di Kabupaten Batang Jawa Tengah sepanjang Jumat 18 Oktober 2024. Andika membahas berbagai permasalahan yang dihadapi petani dan nelayan di wilayah tersebut. ;positif;calon gubernur jawa tengah nomor urut  andika perkasa berkampanye di kabupaten batang jawa tengah sepanjang jumat  oktober  andika membahas berbagai permasalahan yang dihadapi petani dan nelayan di wilayah tersebut;3;calon gubernur jawa tengah nomor urut  andika perkasa berkampanye di kabupaten batang jawa tengah sepanjang jumat  oktober  andika membahas berbagai permasalahan yang dihadapi petani dan nelayan di wilayah tersebut;calon gubernur jawa tengah nomor urut andika perkasa berkampanye di kabupaten batang jawa tengah sepanjang jumat oktober andika membahas berbagai permasalahan yang dihadapi petani dan nelayan di wilayah tersebut;0
Relawan Pengusaha Perkasa Hebat mendeklarasikan dukungan untuk Cagub-Cawagub Jateng Andika Perkasa-Hendar Prihadi di acara Tanglet Andika-Hendi. Ketua Umum Relawan @JudysAndra mengajak pemilihan pemula untuk memilih Andika-Hendi yang memiliki rekam jejak mumpuni. ;positif;relawan pengusaha perkasa hebat mendeklarasikan dukungan untuk cagubcawagub jateng andika perkasahendar prihadi di acara tanglet andikahendi ketua umum relawan mengajak pemilihan pemula untuk memilih andikahendi yang memiliki rekam jejak mumpuni;1;relawan pengusaha perkasa hebat mendeklarasikan dukungan untuk cagubcawagub jateng andika perkasahendar prihadi di acara tanglet andikahendi ketua umum relawan mengajak pemilihan pemula untuk memilih andikahendi yang memiliki rekam jejak mumpuni;relawan pengusaha perkasa hebat mendeklarasikan dukungan untuk cagubcawagub jateng andika perkasahendar prihadi di acara tanglet andikahendi ketua umum relawan mengajak pemilihan pemula untuk memilih andikahendi yang memiliki rekam jejak mumpuni;0
Cagub Jateng nomor urut 1 Andika Perkasa berani ubah aturan di TNI salah satunya berhasil melakukan reformasi birokrasi di TNI. Jateng Perkasa https://t.co/PhX3YTz3f1;positif;cagub jateng nomor urut  andika perkasa berani ubah aturan di tni salah satunya berhasil melakukan reformasi birokrasi di tni jateng perkasa;2;cagub jateng nomor urut  andika perkasa berani ubah aturan di tni salah satunya berhasil melakukan reformasi birokrasi di tni jateng perkasa;cagub jateng nomor urut andika perkasa berani ubah aturan di tni salah satunya berhasil melakukan reformasi birokrasi di tni jateng perkasa;0
Berpengalaman Nasional dan Internasional Cagub Jateng Jendral Purnawirawan TNI Andika Perkasa Memang benar kata pihak lawan pak Andika ini memang kelasnya calon presiden. Warga Jawa Tengah beruntung punya gubernur sekelas presiden. Yuk Warga Jateng Pilih Andika Perkasa No 1 https://t.co/iPU4KkILX8;positif;berpengalaman nasional dan internasional cagub jateng jendral purnawirawan tni andika perkasa memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden warga jawa tengah beruntung punya gubernur sekelas presiden yuk warga jateng pilih andika perkasa no ;2;berpengalaman nasional dan internasional cagub jateng jendral purnawirawan tni andika perkasa memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden warga jawa tengah beruntung punya gubernur sekelas presiden yuk warga jateng pilih andika perkasa no ;berpengalaman nasional dan internasional cagub jateng jenderal purnawirawan tni andika perkasa memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden warga jawa tengah beruntung punya gubernur sekelas presiden ayo warga jateng pilih andika perkasa nomor;3
Jilbab merah memang seperti itu cantik-cantik dan cerdas. Pilih Rambo bkn Sambo. Pak Andika perkasa Disambut meriah pekerja pabrik MPS Pekalongan https://t.co/j3YAFwUM7u;positif;jilbab merah memang seperti itu cantikcantik dan cerdas pilih rambo bkn sambo pak andika perkasa disambut meriah pekerja pabrik mps pekalongan;1;jilbab merah memang seperti itu cantikcantik dan cerdas pilih rambo bkn sambo pak andika perkasa disambut meriah pekerja pabrik mps pekalongan;jilbab merah memang seperti itu cantikcantik dan cerdas pilih rambo bukan sambo pak andika perkasa disambut meriah pekerja pabrik mps pekalongan;1
Relawan Plat G Kota Pekalongan menyatakan dukungannya kepada pasangan Cagub-Cawagub Andika Perkasa dan Hendar Prihadi (Hendi) di Pilkada Jateng 2024. Mereka memilih Andika-Hendi lantaran keduanya dianggap sebagai sosok ideal membangun Jateng Perkasa Semakin Hebat. https://t.co/Ysn6s8t0Op;positif;relawan plat g kota pekalongan menyatakan dukungannya kepada pasangan cagubcawagub andika perkasa dan hendar prihadi hendi di pilkada jateng  mereka memilih andikahendi lantaran keduanya dianggap sebagai sosok ideal membangun jateng perkasa semakin hebat;2;relawan plat g kota pekalongan menyatakan dukungannya kepada pasangan cagubcawagub andika perkasa dan hendar prihadi hendi di pilkada jateng  mereka memilih andikahendi lantaran keduanya dianggap sebagai sosok ideal membangun jateng perkasa semakin hebat;relawan plat enggak kota pekalongan menyatakan dukungannya kepada pasangan cagubcawagub andika perkasa dan hendar prihadi hendi di pemilihan kepala daerah jateng mereka memilih andikahendi lantaran keduanya dianggap sebagai sosok ideal membangun jateng perkasa semakin hebat;2
Andika Perkasa - Hendrar Prihadi Sekelas capres-cawapres yang mau berproses ikut cagub-cawagub karena beliau tidak punya paman di MK Masyarakat Jawa Tengah jangan sia siakan kesempatan ini untuk masa depan Indonesia ya Apalagi kita tahu Jateng butuh Rambo bukan Sambo! https://t.co/VffZCoAI1V;positif;andika perkasa hendrar prihadi sekelas caprescawapres yang mau berproses ikut cagubcawagub karena beliau tidak punya paman di mk masyarakat jawa tengah jangan sia siakan kesempatan ini untuk masa depan indonesia ya apalagi kita tahu jateng butuh rambo bukan sambo;2;andika perkasa hendrar prihadi sekelas caprescawapres yang mau berproses ikut cagubcawagub karena beliau tidak punya paman di mk masyarakat jawa tengah jangan sia siakan kesempatan ini untuk masa depan indonesia ya apalagi kita tahu jateng butuh rambo bukan sambo;andika perkasa hendrar prihadi sekelas caprescawapres yang mau berproses ikut cagubcawagub karena beliau tidak punya paman di maka masyarakat jawa tengah jangan sia siakan kesempatan ini untuk masa depan indonesia iya apalagi kita tahu jateng butuh rambo bukan sambo;2
Seeorang Kesatria Sejati Tak Hanya Memikirkan Mementingkan Egonya Sendiri Kesatria Sejati Punya Tujuan Motivasi Mempunyai Nilai- Nilai Serta Bermanfaat Untuk Banyak Orang. ;positif;seeorang kesatria sejati tak hanya memikirkan mementingkan egonya sendiri kesatria sejati punya tujuan motivasi mempunyai nilai nilai serta bermanfaat untuk banyak orang;0;seeorang kesatria sejati tak hanya memikirkan mementingkan egonya sendiri kesatria sejati punya tujuan motivasi mempunyai nilai nilai serta bermanfaat untuk banyak orang;seeorang kesatria sejati tidak hanya memikirkan mementingkan egonya sendiri kesatria sejati punya tujuan motivasi mempunyai nilai nilai serta bermanfaat untuk banyak orang;1
Momen calon Gubernur Jateng Andika Perkasa berkunjung ke PT. Pandatex Magelang. Di sana Pak Andika mendengarkan aspirasi pekerja dan sekaligus meninjau potensi lapangan pekerjaan. Andika-Hendi untuk Jateng yang lebih baik. Menyala  https://t.co/nAR0lowssq;positif;momen calon gubernur jateng andika perkasa berkunjung ke pt pandatex magelang di sana pak andika mendengarkan aspirasi pekerja dan sekaligus meninjau potensi lapangan pekerjaan andikahendi untuk jateng yang lebih baik menyala;1;momen calon gubernur jateng andika perkasa berkunjung ke pt pandatex magelang di sana pak andika mendengarkan aspirasi pekerja dan sekaligus meninjau potensi lapangan pekerjaan andikahendi untuk jateng yang lebih baik menyala;momen calon gubernur jateng andika perkasa berkunjung ke pt pandatex magelang di sana pak andika mendengarkan aspirasi pekerja dan sekaligus meninjau potensi lapangan pekerjaan andikahendi untuk jateng yang lebih baik menyala;0
Momen Cagub/Cawagub Jawa Tengah Andika Perkasa - Hendrar Prihadi mengunjungi pabrik H.M Sampoerna di wilayah Pekalongan. Di sana Pak Andika dan Pak Hendi disambut dengan penuh kehangatan. Luar biasa Andika-Hendi untuk Jateng yang lebih baik. #JatengPerkasa https://t.co/jLhyWtxaPq;positif;momen cagubcawagub jawa tengah andika perkasa hendrar prihadi mengunjungi pabrik hm sampoerna di wilayah pekalongan di sana pak andika dan pak hendi disambut dengan penuh kehangatan luar biasa andikahendi untuk jateng yang lebih baik;3;momen cagubcawagub jawa tengah andika perkasa hendrar prihadi mengunjungi pabrik hm sampoerna di wilayah pekalongan di sana pak andika dan pak hendi disambut dengan penuh kehangatan luar biasa andikahendi untuk jateng yang lebih baik;momen cagubcawagub jawa tengah andika perkasa hendrar prihadi mengunjungi pabrik hm sampoerna di wilayah pekalongan di sana pak andika dan pak hendi disambut dengan penuh kehangatan luar biasa andikahendi untuk jateng yang lebih baik;0
Hanya 1 Jenderal Tangguh Yang Merakyat Hanya 1 Jenderal Tangguh Yang Mau Mendengarkan Orang Kecil Hanya 1 Jenderal Tangguh Dan Juga Mantan Walikota Semarang Yang Bisa Memimpin Jawa Tengah Untuk Lebih Baik Lagi. Hanya 1 untuk Jawa Tengah: Andika Perkasa dan Hendrar Priadi https://t.co/j04gabEccc;positif;hanya  jenderal tangguh yang merakyat hanya  jenderal tangguh yang mau mendengarkan orang kecil hanya  jenderal tangguh dan juga mantan walikota semarang yang bisa memimpin jawa tengah untuk lebih baik lagi hanya  untuk jawa tengah andika perkasa dan hendrar priadi;5;hanya  jenderal tangguh yang merakyat hanya  jenderal tangguh yang mau mendengarkan orang kecil hanya  jenderal tangguh dan juga mantan walikota semarang yang bisa memimpin jawa tengah untuk lebih baik lagi hanya  untuk jawa tengah andika perkasa dan hendrar priadi;hanya jenderal tangguh yang merakyat hanya jenderal tangguh yang mau mendengarkan orang kecil hanya jenderal tangguh dan juga mantan walikota semarang yang bisa memimpin jawa tengah untuk lebih baik lagi hanya untuk jawa tengah andika perkasa dan hendrar priadi;0
Sejumlah pengusaha muda di Jawa Tengah yang tergabung dalam Pengusaha Perkasa Hebat mendeklarasikan dukungannya ke paslon nomor urut 1 Andika M Perkasa-Hendrar Prihadi #jatengperkasa https://t.co/UwfKbs6vkj;positif;sejumlah pengusaha muda di jawa tengah yang tergabung dalam pengusaha perkasa hebat mendeklarasikan dukungannya ke paslon nomor urut  andika m perkasahendrar prihadi;3;sejumlah pengusaha muda di jawa tengah yang tergabung dalam pengusaha perkasa hebat mendeklarasikan dukungannya ke paslon nomor urut  andika m perkasahendrar prihadi;sejumlah pengusaha muda di jawa tengah yang tergabung dalam pengusaha perkasa hebat mendeklarasikan dukungannya ke paslon nomor urut andika sama perkasahendrar prihadi;1
Berkunjung ke PT Pandatex Magelang Cagub Jateng 'Andika Perkasa' serap aspirasi pekerja. Pak Andika terus bergerak maju menuju Jateng SATU. #JatengPerkasa #JatengBerSATU https://t.co/BFPW798bLy;negatif;berkunjung ke pt pandatex magelang cagub jateng andika perkasa serap aspirasi pekerja pak andika terus bergerak maju menuju jateng satu;3;berkunjung ke pt pandatex magelang cagub jateng andika perkasa serap aspirasi pekerja pak andika terus bergerak maju menuju jateng satu;berkunjung ke pt pandatex magelang cagub jateng andika perkasa serap aspirasi pekerja pak andika terus bergerak maju menuju jateng satu;0
Andika Perkasa Belanja Masalah dan Akui Siap Debat Pilkada Jawa Tengah @AndikaPerkasa02 Calon Gubernur Jawa Tengah mengaku ia sedang belanja masalah sekaligus mengumpulkan bahan untuk debat nanti. Sementara itu Andika juga berharap Objek Mata Air Cokro atau OMAC bisa lebih https://t.co/jep8djN120;negatif;andika perkasa belanja masalah dan akui siap debat pilkada jawa tengah calon gubernur jawa tengah mengaku ia sedang belanja masalah sekaligus mengumpulkan bahan untuk debat nanti sementara itu andika juga berharap objek mata air cokro atau omac bisa lebih;2;andika perkasa belanja masalah dan akui siap debat pilkada jawa tengah calon gubernur jawa tengah mengaku ia sedang belanja masalah sekaligus mengumpulkan bahan untuk debat nanti sementara itu andika juga berharap objek mata air cokro atau omac bisa lebih;andika perkasa belanja masalah dan akui siap debat pemilihan kepala daerah jawa tengah calon gubernur jawa tengah mengaku ia sedang belanja masalah sekaligus mengumpulkan bahan untuk debat nanti sementara itu andika juga berharap objek mata air cokro atau omac bisa lebih;1
Pasangan calon Gubernur dan Wakil Gubernur Jawa Tengah nomor urut 1 Andika Perkasa dan Hendrar Prihadi (Andika-Hendi) menghadiri acara senam sehat bersama warga Kota Salatiga pada Jumat (18/10/2024). Bagi Andika-Hendi acara senam sehat ini tidak hanya soal kesehatan fisik https://t.co/6osHzb7Cz9;positif;pasangan calon gubernur dan wakil gubernur jawa tengah nomor urut  andika perkasa dan hendrar prihadi andikahendi menghadiri acara senam sehat bersama warga kota salatiga pada jumat  bagi andikahendi acara senam sehat ini tidak hanya soal kesehatan fisik;3;pasangan calon gubernur dan wakil gubernur jawa tengah nomor urut  andika perkasa dan hendrar prihadi andikahendi menghadiri acara senam sehat bersama warga kota salatiga pada jumat  bagi andikahendi acara senam sehat ini tidak hanya soal kesehatan fisik;pasangan calon gubernur dan wakil gubernur jawa tengah nomor urut andika perkasa dan hendrar prihadi andikahendi menghadiri acara senam sehat bersama warga kota salatiga pada jumat bagi andikahendi acara senam sehat ini tidak hanya soal kesehatan fisik;0
Calon Gubernur Jateng 'Andika Perkasa' Belanja Masalah juga untuk persiapan debat. Andika-Hendi untuk Jateng. #JatengPerkasa #JatengberSATU https://t.co/VLvRXvZ1fl;negatif;calon gubernur jateng andika perkasa belanja masalah juga untuk persiapan debat andikahendi untuk jateng;3;calon gubernur jateng andika perkasa belanja masalah juga untuk persiapan debat andikahendi untuk jateng;calon gubernur jateng andika perkasa belanja masalah juga untuk persiapan debat andikahendi untuk jateng;0
Momen Cagub dan Cawagub Jateng 'Andika Perkasa dan Hendrar Prihadi' menghadiri acara Deklarasi TEKADH Membara (Menang Bersama Rakyat) #JatengPerkasa #JatengBerSATU https://t.co/tHHTWqdkbe;positif;momen cagub dan cawagub jateng andika perkasa dan hendrar prihadi menghadiri acara deklarasi tekadh membara menang bersama rakyat;3;momen cagub dan cawagub jateng andika perkasa dan hendrar prihadi menghadiri acara deklarasi tekadh membara menang bersama rakyat;momen cagub dan cawagub jateng andika perkasa dan hendrar prihadi menghadiri acara deklarasi tekadh membara menang bersama rakyat;0
Bersama Andika Jateng Perkasa Bersama Hendar Prihadi Jateng di Hati... https://t.co/N0YnUnZtu5;positif;bersama andika jateng perkasa bersama hendar prihadi jateng di hati;1;bersama andika jateng perkasa bersama hendar prihadi jateng di hati;bersama andika jateng perkasa bersama hendar prihadi jateng di hati;0
Andika Perkasa sosok pemimpin berjiwa muda dan kekinian ingin mencontoh K-POP. Jagoan jateng ini bercerita tentang Industri K-POP revenue nya sebanding dengan 35 perusahaan menengah.. Asli keren https://t.co/kZiNhycGHK;positif;andika perkasa sosok pemimpin berjiwa muda dan kekinian ingin mencontoh kpop jagoan jateng ini bercerita tentang industri kpop revenue nya sebanding dengan  perusahaan menengah asli keren;2;andika perkasa sosok pemimpin berjiwa muda dan kekinian ingin mencontoh kpop jagoan jateng ini bercerita tentang industri kpop revenue nya sebanding dengan  perusahaan menengah asli keren;andika perkasa sosok pemimpin berjiwa muda dan kekinian ingin mencontoh kpop jagoan jateng ini bercerita tentang industri kpop revenue nya sebanding dengan perusahaan menengah asli keren;0
Cagub-Cawagub Jateng Andika Perkasa dan Hendrar Prihadi Blusukan ke Batang. (18/10) Beliau berdua bertemu pelaku seni budayawan dan sempat juga bertemu nelayan. Andika-Hendi terus bergerak maju menuju Jateng Satu.... #JatengPerkasa #JatengBerSATU https://t.co/P7vEYrNbvk;positif;cagubcawagub jateng andika perkasa dan hendrar prihadi blusukan ke batang  beliau berdua bertemu pelaku seni budayawan dan sempat juga bertemu nelayan andikahendi terus bergerak maju menuju jateng satu;4;cagubcawagub jateng andika perkasa dan hendrar prihadi blusukan ke batang  beliau berdua bertemu pelaku seni budayawan dan sempat juga bertemu nelayan andikahendi terus bergerak maju menuju jateng satu;cagubcawagub jateng andika perkasa dan hendrar prihadi blusukan ke batang beliau berdua bertemu pelaku seni budayawan dan sempat juga bertemu nelayan andikahendi terus bergerak maju menuju jateng satu;0
Cagub Jateng Andika Perkasa berkunjung ke Desa Wonosari Demak di salah satu sentra pengasapan ikan. Beliau mendukung penuh dan berharap usaha di situ makin besar sehingga akan menyerap banyak tenaga kerja disekitarnya. Aamiin Andika-Hendi untuk Jateng. #JatengPerkasa https://t.co/CrspYYj395;positif;cagub jateng andika perkasa berkunjung ke desa wonosari demak di salah satu sentra pengasapan ikan beliau mendukung penuh dan berharap usaha di situ makin besar sehingga akan menyerap banyak tenaga kerja disekitarnya aamiin andikahendi untuk jateng;2;cagub jateng andika perkasa berkunjung ke desa wonosari demak di salah satu sentra pengasapan ikan beliau mendukung penuh dan berharap usaha di situ makin besar sehingga akan menyerap banyak tenaga kerja disekitarnya aamiin andikahendi untuk jateng;cagub jateng andika perkasa berkunjung ke desa wonosari demak di salah satu sentra pengasapan ikan beliau mendukung penuh dan berharap usaha di situ makin besar sehingga akan menyerap banyak tenaga kerja disekitarnya amin andikahendi untuk jateng;1
Cagub Jateng 'Andika Perkasa' mengunjungi tempat pelelangan ikan di Kendal. Beliau berdiskusi dan mendengar tentang keinginan mereka dan menyerap aspirasi masyarakat/ para nelayan. https://t.co/N3MXJSFujJ;positif;cagub jateng andika perkasa mengunjungi tempat pelelangan ikan di kendal beliau berdiskusi dan mendengar tentang keinginan mereka dan menyerap aspirasi masyarakat para nelayan;1;cagub jateng andika perkasa mengunjungi tempat pelelangan ikan di kendal beliau berdiskusi dan mendengar tentang keinginan mereka dan menyerap aspirasi masyarakat para nelayan;cagub jateng andika perkasa mengunjungi tempat pelelangan ikan di kendal beliau berdiskusi dan mendengar tentang keinginan mereka dan menyerap aspirasi masyarakat para nelayan;0
